상품별 수익률 수수료율(납입원금 대비),,,,,,,,,,,,,,,,,,,,,,,,,,
[조회조건],,,,,,,,,,,,,,,,,,,,,,,,,,
권역: ,자산운용[펀드],금융회사: ,,판매여부: ,전체,원금보장: ,전체,수수료구조: ,전체,중도인출: ,전체,연금수령기간: ,전체,작성기준일: ,'25년 3분기,과거비교: ,2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
총 2003건,"(단위: 백만원 , %)",,,,,,,,,,,,,,,,,,,,,,,,,
상품명,금융회사,상품유형,최초판매일,판매여부,중도해지,'25년 3분기,,,,'24년,,,,장기 수익률(연평균),,,,장기 수수료율(연평균),,,,,,,,
,,,,,,납입원금,적립금,수익률,수정기준가 수익률,납입원금,적립금,수익률,수정기준가 수익률,3년,5년,7년,10년,3년,5년,7년,10년,,,,,
삼성신종MMF종류형D 2(C-P),삼성자산운용,단기금융,2013/05/21,판매,가능,"1,475,368","1,509,140",-0.40,2.56,"1,225,597","1,271,966",0.02,3.20,1.67,1.06,1.18,1.09,0.49,0.49,0.49,0.49,,,,,
한국밸류10년투자연금증권전환형투자신탁 1(주식)C,한국투자밸류자산운용,주식형,2007/03/19,판매,가능,"242,404","514,362",61.83,45.88,"274,880","360,755",-11.70,-6.52,-14.62,-2.69,-5.58,-3.54,1.99,1.94,1.84,1.79,,,,,
하나인Best연금증권투자신탁 1[주식],하나자산운용,주식형,2001/02/01,판매,가능,"249,369","478,492",55.33,44.91,"282,959","336,456",-17.24,-11.01,-17.32,-5.29,-7.49,-4.14,1.95,1.94,1.85,1.77,,,,,
피델리티글로벌테크놀로지증권자투자신탁(주식-재간접형)종류PRS-e,피델리티자산운용,재간접,2015/07/15,판매,가능,"222,331","424,192",29.76,19.47,"210,500","351,824",25.07,18.70,6.89,16.19,15.06,,0.61,0.60,0.58,,,,,,
미래에셋라이프사이클4050연금증권전환형자투자신탁 1(주식혼합)종류C,미래에셋자산운용,혼합주식형,2005/10/27,판매,가능,"317,411","378,766",19.07,19.32,"317,147","309,237",0.32,0.53,-2.11,1.69,0.85,15.04,1.30,1.35,1.34,3.42,,,,,
신영밸류고배당증권자투자신탁(주식)C-P형,신영자산운용,주식형,2013/04/03,판매,가능,"183,270","368,216",38.34,26.24,"201,514","285,789",-5.47,-2.28,-3.42,2.63,-1.15,2.25,1.83,1.73,1.64,1.58,,,,,
한국투자골드플랜연금증권전환형투자신탁 1(주식)(C),한국투자신탁운용,주식형,2001/01/31,판매,가능,"113,497","330,772",67.60,34.47,"131,260","246,655",-17.67,-6.98,-14.77,-2.49,-4.68,-0.58,2.12,2.02,1.85,1.69,,,,,
KCGI샐러리맨증권자투자신탁[주식-재간접형]종류C-Pe,케이씨지아이자산운용,재간접,2018/03/28,판매,가능,"197,751","287,200",29.98,26.68,"184,107","242,225",21.53,21.29,3.78,8.68,,,0.86,0.84,,,,,,,
