"가정별","시점",전체
"중위","2072",91.1
"중위","2071",91.0
"중위","2070",90.9
"중위","2069",90.8
"중위","2068",90.7
"중위","2067",90.6
"중위","2066",90.5
"중위","2065",90.4
"중위","2064",90.3
"중위","2063",90.2
"중위","2062",90.0
"중위","2061",89.9
"중위","2060",89.8
"중위","2059",89.7
"중위","2058",89.6
"중위","2057",89.5
"중위","2056",89.4
"중위","2055",89.2
"중위","2054",89.1
"중위","2053",89.0
"중위","2052",88.9
"중위","2051",88.7
"중위","2050",88.6
"중위","2049",88.5
"중위","2048",88.3
"중위","2047",88.2
"중위","2046",88.1
"중위","2045",87.9
"중위","2044",87.8
"중위","2043",87.6
"중위","2042",87.5
"중위","2041",87.3
"중위","2040",87.2
"중위","2039",87.0
"중위","2038",86.8
"중위","2037",86.7
"중위","2036",86.5
"중위","2035",86.3
"중위","2034",86.2
"중위","2033",86.0
"중위","2032",85.8
"중위","2031",85.6
"중위","2030",85.5
"중위","2029",85.3
"중위","2028",85.1
"중위","2027",84.9
"중위","2026",84.7
"중위","2025",84.5
"중위","2024",84.3
"중위","2023",83.5
"중위","2022",82.7
