소비자물가 상승률,,,,
주석,,,,
출처,국가데이터처,,,
범례명,전월대비,전년동월대비,,
단위,(%),(%),,
주기,월,월,,
기간,1965-02 ~ 2025-11,1966-01 ~ 2025-11,,
2005-01,1,3.4,,
2005-02,0.4,3.4,,
2005-03,0.6,3,,
2005-04,0.1,3.1,,
2005-05,-0.1,3.1,,
2005-06,-0.3,2.8,,
2005-07,0.4,2.6,,
2005-08,0.3,2,,
2005-09,0.5,2.5,,
2005-10,-0.2,2.3,,
2005-11,-0.4,2.5,,
2005-12,0.3,2.6,,
2006-01,0.6,2.2,,
2006-02,0.2,2,,
2006-03,0.6,2,,
2006-04,0.1,2,,
2006-05,0.2,2.3,,
2006-06,-0.2,2.4,,
2006-07,0.4,2.4,,
2006-08,0.6,2.7,,
2006-09,0.3,2.5,,
2006-10,-0.5,2.2,,
2006-11,-0.5,2.1,,
2006-12,0.3,2.1,,
2007-01,0.2,1.7,,
2007-02,0.7,2.2,,
2007-03,0.6,2.2,,
2007-04,0.4,2.4,,
2007-05,0.1,2.3,,
2007-06,0,2.5,,
2007-07,0.4,2.5,,
2007-08,0.1,2,,
2007-09,0.6,2.3,,
2007-10,0.2,3,,
2007-11,0,3.5,,
2007-12,0.4,3.6,,
2008-01,0.5,3.9,,
2008-02,0.4,3.6,,
2008-03,0.9,3.9,,
2008-04,0.6,4.1,,
2008-05,0.8,4.9,,
2008-06,0.6,5.5,,
2008-07,0.7,5.9,,
2008-08,-0.2,5.6,,
2008-09,0.1,5.1,,
2008-10,-0.1,4.8,,
2008-11,-0.3,4.5,,
2008-12,0,4.1,,
2009-01,0.1,3.7,,
2009-02,0.7,4.1,,
2009-03,0.7,3.9,,
2009-04,0.3,3.6,,
2009-05,0,2.7,,
2009-06,-0.1,2,,
2009-07,0.4,1.6,,
2009-08,0.4,2.2,,
2009-09,0.1,2.2,,
2009-10,-0.3,2,,
2009-11,0.2,2.4,,
2009-12,0.4,2.8,,
2010-01,0.8,3.5,,
2010-02,0.2,3,,
2010-03,0.2,2.5,,
2010-04,0.4,2.6,,
2010-05,0.1,2.7,,
2010-06,-0.1,2.7,,
2010-07,0.2,2.5,,
2010-08,0.5,2.7,,
2010-09,0.8,3.4,,
2010-10,0,3.7,,
2010-11,-0.5,3,,
2010-12,0.4,3,,
2011-01,1.2,3.4,,
2011-02,0.7,3.9,,
2011-03,0.4,4.1,,
2011-04,0.1,3.8,,
2011-05,0.2,3.9,,
2011-06,0.2,4.2,,
2011-07,0.5,4.5,,
2011-08,0.7,4.7,,
2011-09,-0.1,3.8,,
2011-10,-0.2,3.6,,
2011-11,0.1,4.2,,
2011-12,0.4,4.2,,
2012-01,0.4,3.3,,
2012-02,0.4,3,,
2012-03,0,2.7,,
2012-04,0,2.6,,
2012-05,0.2,2.5,,
2012-06,-0.1,2.2,,
2012-07,-0.2,1.5,,
2012-08,0.5,1.3,,
2012-09,0.7,2.1,,
2012-10,-0.2,2.1,,
2012-11,-0.4,1.6,,
2012-12,0.2,1.4,,
2013-01,0.6,1.6,,
2013-02,0.3,1.6,,
2013-03,-0.1,1.5,,
2013-04,-0.1,1.3,,
2013-05,0,1.1,,
2013-06,-0.1,1.2,,
2013-07,0.2,1.6,,
2013-08,0.4,1.5,,
2013-09,0.2,1,,
2013-10,-0.3,0.9,,
2013-11,0,1.2,,
2013-12,0.1,1.1,,
2014-01,0.5,1.1,,
2014-02,0.3,1,,
2014-03,0.2,1.3,,
2014-04,0.1,1.5,,
2014-05,0.2,1.7,,
2014-06,-0.1,1.7,,
2014-07,0.1,1.6,,
2014-08,0.2,1.4,,
2014-09,-0.1,1.1,,
2014-10,-0.3,1.1,,
2014-11,-0.2,1,,
2014-12,0,0.8,,
2015-01,0.7,1,,
2015-02,-0.1,0.6,,
2015-03,0,0.5,,
2015-04,0,0.4,,
2015-05,0.3,0.6,,
2015-06,0,0.7,,
2015-07,0.2,0.7,,
2015-08,0.1,0.7,,
2015-09,-0.3,0.5,,
2015-10,0,0.8,,
2015-11,-0.2,0.8,,
2015-12,0.3,1.1,,
2016-01,0.2,0.6,,
2016-02,0.4,1.1,,
2016-03,-0.3,0.8,,
2016-04,0.2,1,,
2016-05,0.1,0.8,,
2016-06,0,0.7,,
2016-07,-0.2,0.4,,
2016-08,0.3,0.5,,
2016-09,0.6,1.3,,
2016-10,0.1,1.5,,
2016-11,-0.1,1.5,,
2016-12,0.1,1.3,,
2017-01,1.1,2.2,,
2017-02,0.3,2.1,,
2017-03,-0.1,2.3,,
2017-04,-0.1,2,,
2017-05,0.1,2,,
2017-06,-0.2,1.8,,
2017-07,0.2,2.2,,
2017-08,0.6,2.5,,
2017-09,0.1,2,,
2017-10,-0.1,1.8,,
2017-11,-0.7,1.2,,
2017-12,0.4,1.4,,
2018-01,0.4,0.8,,
2018-02,0.8,1.3,,
2018-03,-0.1,1.2,,
2018-04,0.2,1.5,,
2018-05,0,1.5,,
2018-06,-0.2,1.5,,
2018-07,-0.2,1.1,,
2018-08,0.9,1.4,,
2018-09,0.8,2.1,,
2018-10,-0.2,2,,
2018-11,-0.7,2,,
2018-12,-0.3,1.3,,
2019-01,-0.1,0.8,,
2019-02,0.4,0.5,,
2019-03,-0.2,0.4,,
2019-04,0.4,0.6,,
2019-05,0.2,0.7,,
2019-06,-0.2,0.7,,
2019-07,-0.3,0.6,,
2019-08,0.2,0,,
2019-09,0.4,-0.4,,
2019-10,0.2,0,,
2019-11,-0.6,0.2,,
2019-12,0.2,0.7,,
2020-01,0.4,1.2,,
2020-02,0.1,0.9,,
2020-03,-0.2,0.8,,
2020-04,-0.4,0,,
2020-05,-0.1,-0.2,,
2020-06,0.3,0.2,,
2020-07,-0.1,0.4,,
2020-08,0.6,0.8,,
2020-09,0.5,0.9,,
2020-10,-0.6,0.1,,
2020-11,-0.1,0.6,,
2020-12,0.2,0.6,,
2021-01,0.7,0.9,,
2021-02,0.5,1.4,,
2021-03,0.3,1.9,,
2021-04,0.1,2.5,,
2021-05,0.1,2.6,,
2021-06,0,2.3,,
2021-07,0.2,2.6,,
2021-08,0.5,2.6,,
2021-09,0.4,2.4,,
2021-10,0.2,3.2,,
2021-11,0.5,3.8,,
2021-12,0.2,3.7,,
2022-01,0.8,3.8,,
2022-02,0.5,3.8,,
2022-03,0.6,4.2,,
2022-04,0.7,4.8,,
2022-05,0.6,5.3,,
2022-06,0.7,6,,
2022-07,0.5,6.3,,
